阿	至亲
阿爸	叔父
阿伯	老父
阿伯	伯父
阿爹	爸爸
阿兄	弟弟
阿哥	哥哥
安	啊	安?!他真是小冯?	(仔细打量)
安	哼	谁同意你捐的，安?你怎么不把书包也捐了?
巴心不得	巴不得	她因为同情他，才巴心不得他几天功夫脱离痛苦。
芭茅色	米色	芭茅色
疤	补丁	衣服上补了一个疤。
疤疤	瘢痕	有个桂蕊嘴巴扁，脸上有坨黑疤疤。
补疤疤	补丁	他穿着一条补疤疤裤子。
粑粑	饼	包谷粑粑。
笆笆	毡垫
笆笆	晒席
笆笆	栅栏
笆篓	竹篓
八方	到处	刘柏荣学了一年多，功夫猛长，更是磨拳擦掌恨不得八方找人生事较量。
八帽子远	老远	你又住在龙颈垭上，扯起八帽子远，日后做活路也不方便呀!
叭	抽	蒲伯英也不住叭着叶子烟笑。
把	拿	葛理顺不知在哪里拾来一根大木桩，足足有四五把粗，丈许长。
把	给	早就应该办的现在就交把你啦。
…把…	一二	个把个|斤把斤|碗把碗|回把回|月把月|现而今挨年逼节的了，点把点小意思，我晓得你们不稀罕。
把连	全部	我去过了，把连都不在。
把凭	凭据	李伯不知，包囊内有订亲把凭。
把稳	稳当	他办事很把稳。
把稳	谨慎	高金山好不容易才劝住她，叫她多想想，把稳一点，不要闹出笑话来。
把稳	掌握	只要把稳了它这性情，平日便不多淘神。
把细	仔细	支部书记一向是严格的，又把细,没有什么漏洞逃得过他的眼睛。
把细	当心	路上黑，你要把细点啊!
㞎㞎	浊物	亮亮，手上有㞎㞎,洗了手才能吃
㞎㞎	丑事	你曾家祖宗十八代，到底有人有㞎㞎!
坝	片	烧了一坝房子，死了一坝人。|“医?这里摆起一坝,那头还要去赔药钱吗?不划算!”
坝	铺	你是坝席子还是坝毯子睡?
坝坝	平地	场口空坝坝,搭个高台台。
坝坝	露天	除了最近两年看过几场不要钱的坝坝电影外，她几乎谈不上什么享受。|他常看坝坝戏,挤惯台口，懂得在人流中找路的妙窍。
坝坝舞	集体舞	现在的嬢嬢们好喜欢跳坝坝舞。
坝单	床单
坝子	平地	操场坝子。|川西坝子。
把把	把儿	茶壶把把|锅铲把把|梨儿把把。
把子	脏话	说话带把子,满嘴龟儿、狗日的，不文明。
靶子	脏话	说话带靶子,满嘴龟儿、狗日的，不文明。
罢脚	收尾	杏子罢脚了，苹果又吃得了。
罢脚货	下脚货	罢脚货还卖这么贵，怕没得人要啊!
罢市	售罄	那段时间西红柿都快罢市了，整个市场上就他一家独霸。
罢园	收尾	在永兴区，一般樱桃，现时都～了。
𨃅	跛	你看他们，脚𨃅眼瞎，穿襟挂绺。|小白狗的后脚爪子咋个是𨃅的喃?
𨃅子.	跛子
𨃅𨃅儿	跛子
摆	挑起	只要摆点事，区上就会相信文如仁的话。
摆	谈	歇会儿再摆这个人。
摆鼻子	吹牛	摆鼻子
摆平	摆平	工作到家，处理公平，这事不就摆平了?|要是没有由头，派兵杀中国，在国际上就摆不平。
摆干	撇开	他硬干大家就～他!
摆母猪阵	撒泼	不怕你们摆母猪阵,看你们闹得倒好久。
龙门阵	故事	我给你摆个好听的“龙门阵”。
摆龙门阵	谈天	幺姑，我们再不能同堆做活路，摆龙门阵了!
摆片	开赌	片官摆片招揽的赌角以商人、大地主、团阀、烟贩、大袍哥为多，高级军官去的也不少。
摆起	展示	鸡狗也没人照管，到处屙些屎来摆起。|部分社员成群打浪地出去挣现钱，农业活路摆起了。|杨福带着范崇实传达刘湘“打死两个摆起”的口谕，领着一帮密探风驰电掣追赶日本人。
摆摊子	乱摊子	我们不能只图痛快，更不能～。|他倒好!摆下个烂摊子让我们来捡!
摆摊摊儿	乱摊子	我们不能只图痛快，更不能～。|他倒好!摆下个烂摊子让我们来捡!
摆条	闲谈	有空就坐下来～。
摆尾子	鱼	鱼叫～。
摆尾子	汉姓	明天到我家“素坐"一下，来么?有～他们。
摆尾子	汉姓	明天到我家“素坐"一下，来么?有～他们。
摆扎	情景	我不曾进过衙门，一见这～,就觉得像戏里问案的公堂。
摆子	疟疾	打~。|~发了。
败味(败味儿)	腻味	这东西吃多了要~。|我们一有空闲，总是把孩子的体重、颜色、饭量、玩跳的事当做谈话的资料，仿佛就说几代人那样长的时间也不会～。
拜继(拜给、拜寄)	拜认	要是他要你～给他，你也答应?
拜生	过生日	星期天给父亲～去。|姐夫满六十，去不去～?
扳	掰	～包谷|～笋子。
扳	争辩	这个间题不要再～了。1这点小事也值得～个输赢?
扳	争	买主们也很会挑剔，特别是那厂里的人，一分一厘地～价钱。
扳本(扳本儿)	翻本	再打几盘，等我把本扳回来就不打了。
斑斑	斑点	陋了太阳，脸上一下长了好多黑～。
搬打	按摩	说是老毛病，在学堂里总是找剃头匠通通头发，再周身～下子就好了。
搬得倒家	活学活用	爹爹说
搬不到家	呆板
搬牙巴劲	争辩	你两个莫～,说简单点。|没事干在这儿～。
搬月亮家	搬家	梨花村共有八户外来户，全是在别处做瞎了庄稼，～到这儿来的。
板	干硬	那坟堆上面尽是新盖的松土，下面是留着草根的～土。
板板	板子	板板
板板车	板车	板板车
板带	裤带	楚用还是那身衣裳，只在腰里系了条棉线～,把夹衫的前后摆拉起来扎在腰带里。
板实	干硬	这麦子地好～啊；该挖得啦!
板眼儿	名堂	我一眼就看出来了，有～!
(板、扳)	乱动	这孩子睡觉～得很。|站好嘛，你～啥子嘛!
(板、扳)	挣扎	这条鱼丢到锅头还在～。|不过喃，盖新的，还够～几年呢。
(板、扳)	抵赖	三说两说，他终于～不脱了。
(板、扳)	反抗	杨老六，你莫～,我不是千手观音，众人就是!
板命	垂死挣扎	这只鸡颈项挨了一刀还在～。|娃娃，药性还没有发，倘若发了，只怕你这阵还在～了。
板浪子	兴风作浪	在粮食上头，你要～,还有的是门路嘛。
板子	产卵	面上摆着两个荷叶枕头，枕套上绣着喜鹊闹梅，鲤鱼～。
版子(板子)	底版	四面八方的禀报都像一个～印出来似的。(大二183)②
版子(板子)	模子	两兄弟那么像，就像一个~铸出来的。
办公	例假	办公
办姑姑筵儿	藏猫儿	儿子哭闹着要跟秃老头的几个孩子一起～。
扮姑姑筵儿	藏猫儿	儿子哭闹着要跟秃老头的几个孩子一起～。
办家家	藏猫儿	这是女娃子办的家家，我才不来哩!
办招待	宴请	人家汪副局长酒都买了，今天要～哩!
办招待	付账	你们都没带钱，今天就由我～。
半边	旁边	这儿塞不下，放到～去!
半边	边	你坐到这～来，他坐到那～去。
半边风	半身不遂	我父亲得了～,在床上躺了半年了。
半肢风	半身不遂	我父亲得了～,在床上躺了半年了。
半边窍	半吊子	说到种花呀，我是个～！
半…不…	分别
半大不小	不大不小	一双文明脚，半大不小，端端正正。
半长不长	纤长	她穿一件火红色的布褂，梳一条半长不长的辫子。
半截	部分	大舅舅老是这脾气，一句话总要分成三～说。
半截子	小青年	这群～接连打了三天，闹得米市街一带四邻不安。
半截子幺爸儿	小青年	这群～接连打了三天，闹得米市街一带四邻不安。
半截子娃儿	小青年	这群～接连打了三天，闹得米市街一带四邻不安。
半头房子	独眼龙	小青年你个～,还歪哩!
边花儿	独眼龙	你个～,还歪哩!
半兴	既然	你～在买东西，咋不晓得个下数?总不能把钱都买光咄!
半中半腰	中间	手里拿着一把～裹着一搭红纸的挂面。|那些柴光捆两头还不行，～再捆一道才要得。
半中半腰	中途	与其～来得罪人，不如大家商商量量一个好人情到底，说不定将来总有一点好报的。
半中半腰	半路	他只不过～跑来拣个大便宜而已。
半中拦腰	中间
半中拦腰	中途
半中拦腰	半路
半桩子	小青年	队伍很大，足有百十来个人，但大部分是～细娃娃。
半桩子人	小青年	队伍很大，足有百十来个人，但大部分是～细娃娃。
绊	跌	不小心绊了一跟斗。
跟斗	跤	不小心绊了一跟斗。
跟斗儿	跤	不小心绊了一跟斗儿。
筋斗	跤	不小心绊了一筋斗。
筋斗儿	跤	不小心绊了一筋斗儿。
扮灯儿(办灯儿)	开玩笑	你大人大面的，说了话～吗，啷个嘛?|船老板看大家都不愿上坡，也没得办法，无可奈何地说：“道爷，办不得灯儿啰。”
蚌壳儿	蚌	蚌壳儿
瓣瓣(瓣瓣儿)	碎块	桔子～|蒜～
拌	摔	吴凤梧重重地把一双毛竹筷朝桌上一～,横起眼睛，凶得像要吃人似的。
拌脚板	步行	要不怕～,跟我到队上去。也说拌脚板皮、拌脚板劲。
拌蛮	无赖	你哪个不讲理，兴～呢?
拌蛮	蛮干	这个盒盒我打不开了，只有～,把它砸烂啰。
拌桶(挞斗)	打谷机	收割稻子了，他们没有必不可少的～,也没向谁告一声哀怜。
拌嘴皮	争吵	唉!读书?哪年开学的时候，没和他拌破嘴皮啊?
帮帮	身子	菜～。|老～|鞋～都张嘴了，好没得收拾。
帮帮匠	脚夫	他大半辈子在山城给人当“～”,自称“山城走卒”吧。
帮人(帮人户)	帮佣	原来范大妈年轻时也在昆明～。
梆(邦)	很	～重。|～老。|~臭。|徐锅巴胡牙齿又咬得～紧。
梆梆	竹筒	外面有卖蒸蒸糕的～声。
梆梆枪	盒子枪	你就给他当个卫兵好了。只消带个～,前前后后照管他一下，用不着上前线。
膀圈	手镯	水上警察来抢掠，得了戒指与～。
棒客	土匪	爹爹今天遭了～抢，连云片糕都遭抢走了。
棒老二	土匪	爹爹今天遭了～抢，连云片糕都遭抢走了。
老二	土匪	爹爹今天遭了～抢，连云片糕都遭抢走了。
棒子骨	股骨
包	错漏	说话要注意，整～了不好办。
包包	口袋	这～太重，我提不动。
包包儿	口袋	在死者内衣～里翻出一张已经漫过水的赵老逗买猪的牙行收据。
包儿	花苞	月季又发了儿个小～。
包包	疙瘩	庄稼人腿上是筋～肉疙瘩。
包包坑坑(坑坑包包)	坑坑洼洼	这条路～的，不好走。|这桌面没刨平，～的。
包包散	和稀泥	这个事烫手，双方都有错，要真正解决问题不好办，弄个～吧，抹平了事。
包单	被套	二十八个婴儿，全部用清一色的～裹起。
包谷	玉米
苞谷	玉米
包谷泡儿(包谷花儿、玉麦花儿)	爆米花	爆～的老头儿来了。
包面	馄饨
包元	一定	“只怕有人与你饯行。”“不是，~是王老官来与我要豆腐钱。"
包子漏糖	露馅儿	你在那儿套购粮食，放高利贷的事，还有不～的吗?
包定	必定	要是话说软一点，～被轰下台。
宝	搞笑	这个都不晓得，好～!|穿这一身，好～!
宝里宝器	滑稽	上身绿衣服，下身红裤子，脚上黄皮鞋，硬是～的。
宝器(宝气)	活宝	有少数人已经不是在轰他，而是拿他当～,在逗着玩了。
宝器	滑稽	他的神情好像在说：“这才问得～!”
宝筛筛	滑稽	你看我这身打扮，～的吧?
宝头宝脑	傻里傻气	你看他那样子，～的。
保关煞	拉关系	他思谋，唯一的办法，只有找冷丰标帮忙打圆场，拜个保爷“～”,在区上、乡上，替他说几句话。
保肋肉(保奶肉、宝奶肉)	猪肉	你看那些冒尖户，上街挑一担余粮，回家提块～,好自在，多神气哟
保肋肉(保奶肉、宝奶肉)	熟地膏腴	李子坝属第三大队地区，地势乎坦，正像木鱼山一带社员说的，它是全社的～。
饱米	饱满	娃娃密了，就像瘦土点花生，子子多，不～。
报奏销	交差	不要偷鸡不着蚀把米，没有把周管带拉垮，自己倒搞成了光棍，那才报不出奏销来哩!|如果不风火雷霆弄几个该背时的来鸩治，又报不倒奏销。
报盘	坦白	老婆子很快就发现丈夫在灶屋里，觉得老瘟牲竟然不出来向她～认错，心头越发有气。|到底是怎么少的，我又报不出盘来。
刨花儿脑壳	卷发	胡伯初!那个～女人是哪个?	
镙花儿脑壳	卷发
刨花水	头油	用～把头发抿得光光的。
抱	过继	在亲戚中～个儿，也有捧灵牌子的呀!
抱	窝	加钢黄鳝那匹老母猪，上个月一“～”就甩出七八坨。
抱膀子	参谋	要是你也像今天这样给我～,兴许我早赢了。|老王，来给我抱下膀子，我输得一塌糊塗了!
抱蛋儿	继嗣	他不是亲生的，是个～。
抱鸡母棉鞋	棉鞋
鸡婆鞋	棉鞋
抱鸡婆棉鞋	棉鞋
抱鸡婆	母鸡	你就把国家的粮食搬到家里，他也会像～,整天咯咯咯!咯咯咯!
暴打暴	偶尔	他不经常来，～来一下。
暴蔫子(暴烟子)	准	～老嬷儿|～老汉|～小伙子|老王已经五十过头，算得是～老汉了。|茶铺里的老茶客，大多是退休的～老头。(川文83.6.29)
爆	裂开	书太多了，书包都胀～了。|哪个不挤～咧?屁股大一个小场份，一下挤球儿千人。
爆蛇蛋	五味子
白白生生	白净	这小姑娘长得~的。|小明洗了脸，不是～的了?
白疵疵	平白无故	未必然我就该～地挨他一顿嗦?
白孱孱	白不吡咧	你看他一张脸，～的，没得一点血色。|这条灰布裤子都洗得～的了，你还喜欢?
白孱孱	胸无点墨	这个人，不要看他外表伸展，其实呀，～的。
白翻翻	白不吡咧	炒肉不放豆瓣儿，看起~一块一块的。
白火石	低能儿	一些充当评判的朋友，不禁哑声失笑，骂曾老幺是个“～”。|如果一切都证明是泡影，……社会上也会把自己当成一个～看，那将是多么严重的事情!
白卡卡	煞白	他脸色~的，像是有病。
白垮垮	白不吡咧	他背了一个～的旧书包。
白墨	粉笔
白眉白眼	淡而无味	这菜～的，点儿都不好吃。
白眉白眼	无所事事	一天到黑，～的坐起，有啥意思嘛。
白眉白眼	平白无故	～地就让人家收拾了，没那么便当!④毫无动静	一个冬落了几颗雨啦?直到现在老天爷还～的!⑤毫无代价	你敢!你娃娃投过一个钱的资没有?～的，就想拐走人家的女娃子!
白漂	洁白	那里的黄表纸比我的~,比我的绒实。
白蓬蓬	白晃晃	连考二十一场空，书生变成了白头翁，胡子头发～。
白普普	白不吡咧	这件灰卡叽洗得～的了。这件白衬衣~的，不漂色。
白日清光	大白天	可是今天，～地，看哪个还敢歪?|好没出息的人，～睡大觉。
清光白日	大白天	可是今天，～地，看哪个还敢歪?|好没出息的人，～睡大觉。
白生生	白净	姚家这个哩，你见过，胖敦敦的，～的。|这迷心汤元，可是一宗怪物，瞧起来～,摸到手软绵绵，闻在鼻香扑扑，吃进嘴甜蜜蜜。
白眼饭	白饭	不怕你大少爷笑，还是一顿没油没盐没小菜的~哩	
白哕哕	灰白	我不喜欢这种～的布。
白宰鸡	白斩鸡	我们便在那儿附近买些～来下酒。
白嘴儿	骗子	“走!上馆子，我请客!”“～!哪回上馆子是你请客!”
杯杯	杯子
背	浪费	打这种样式的衣服，太～活路了。|有的皮鞋，当省工的，我们没有省工，做了一些～工活路。
背背裤	背带裤
背二哥	搬运工	一个手拿丁字杵、脚穿麻窝子的人，背上背着的货物像座小山丘，吃力地沿着陡峭的山崖小道爬去。人们习惯地称他们为“～”。
背复	错	这条路走～啰!不该拐过来走。
背声色	声名狼藉	你哥子既不愿～,那吗，就不必出头。
背	压	鲜豌豆淘洗干净，入沸水锅煮炮，捞起后用漏颗～茸去皮。|花椒炕焦了，一～就成面面儿啦。
背背	背面	把盒盒拿过来，看看它的～是啥子。
背筑	背笼	水槐陡起胆子，背起～,到竹妹屋团屋转假装割草。
背光	军师	他们多是懂得一点牌经的，不是参加赌局，便是站在牌客后面当“～”,发扬着参谋作用，简直比当事人还热心。
背架	背篓	山楞子用～背着旅行包，拄着打杵，随在这对男女游客身后爬。
背林林	角落	你看他两个在～头搞啥名堂。
背亮	背光	李姐站在门外~处，尖着耳朵偷听。
背时	倒霉	袍哥到底有～的时候|哪里晓得才背时!不落栈房，便陷住了。
背书	检讨	活路要认真做够哇，莫二天，你们几爷子倒霸王的兵	各自散了，老子可是跑了和尚跑不了庙，弄去～才划不着。
被单戏	口技
被条	被子
焙	封闭	~桴炭|接着她站起来，～熄了火。
裆壳儿	护膝
臂膀子	后台	老实说，如今有了～,硬不怕事了!|恢复高考，他去了，考得很好，但由于没有～,结果把他分到地区医专的一个大专班。
背膀	后台	老实说，如今有了～,硬不怕事了!|恢复高考，他去了，考得很好，但由于没有～,结果把他分到地区医专的一个大专班。
本得	理当	我~请干部来把理断，常言道家务事不可外传。
本等	本分	调我们到边疆上同外国人打仗，是我们的～。如今调我们来打同志军、打国防，却是为了何来?
本真	老实	人最～,平常不多言多语。
奔	挣扎	老道又用右手一抓，把罗世同辫子抓倒，罗老头默倒～,没有～脱，老道就像提只鸡子一样，把他往河里一甩。
奔	拉	不要～断了线，松点!
捹	挣扎	老道又用右手一抓，把罗世同辫子抓倒，罗老头默倒～,没有～脱，老道就像提只鸡子一样，把他往河里一甩。
捹	拉	不要～断了线，松点!
犇	挣扎	老道又用右手一抓，把罗世同辫子抓倒，罗老头默倒～,没有～脱，老道就像提只鸡子一样，把他往河里一甩。
犇	拉	不要～断了线，松点!
捹	蘸	熟油辣子～泡菜|青菜～佐料|正做不做，豆腐～醋。
坌	蘸	熟油辣子～泡菜|青菜～佐料|正做不做，豆腐～醋。
笨里笨浊	笨头笨脑	你咋个~的哟!
笔伸	笔直	道路原来可以开得宽宽的，并像绳子一样拉得～。|挺着腰板，站得～。
笔端	笔直	董作泉挺胸凹肚站得～。|有条～的石板路爬过垭口。
笔端端	笔直	～往前走，抵拢倒拐就到了。
笔头子	写作	他～来得快。|他～不怎么样。
碧烟色	咖啡色
鼻脓口水	鼻涕	吴二玩子一家人，每天早上一起床，个个~,阿欠连声。
鼻塌嘴歪	精疲力竭	一连走了几十里山路，累得～的。
鼻子	鼻涕	~流出来了也不揩一下。
鼻子	圈圈	要有个主题，有个宗旨，如同农村老太婆打草鞋，要先用细绳缠个～。
壁头	墙壁
壁子	墙壁
避鼠	尽职	家猫～不咬鸡，野猫咬鸡不～。
避相	躲藏	林长华是个稀里哈拉的汉子，因为枪案嫌疑，暂时住在路边一间破茅棚里～。
边	左右	一直要闹到三月初十～。
边边	边缘	马路～|田坎～|桌子~|眼睛～上一晃。|你的话，～都没挨到。
边花儿	独眼龙	要是叫狗杂种王～闻到气味，又悄悄跑去奏一本，那才背时啊!又说*半头房子。
边油	板油
边子	相好	去找朱崇海那个婆娘饮酒去。老子们有了钱要去闹耍一下，大家都是老～。
编	忽悠	尽管他以自己有十多年的工龄，找房管组吵过、闹过，找房管员“～”过，但没有房子还是没有房子。|徐烂狗今天来～你妈，明天来～你妈。
编	糊弄	于是会计主任就要我想办法“～”几千块钱出来贡献给局长。
编白	扯谎	你怕～哟，哪有这件事!|那个人爱～得很，不要理他!
编编匠	骗子	~哄骗的对象大都是农村来的顾客。
编方打条	想方设法	比人家挑担上市赚了不少活钱，看自家种田挖土收入不易；比人家～占集体便宜，看自家老实本分两手清白……总之，越比越眼红，越想越生气。
编筐打条	想方设法	比人家挑担上市赚了不少活钱，看自家种田挖土收入不易；比人家～占集体便宜，看自家老实本分两手清白……总之，越比越眼红，越想越生气。
编筐筐	设计	大不似从前年月，整天都在设法～,布网网，哄骗诱惑。
编排	捏造	人家好心好肠来告诉你一点新闻，你就～人家听墙根!|泼贱婆娘，～丑事对人讲。
编圈圈	设计	大不似从前年月，整天都在设法～,布网网，哄骗诱惑。
贬	打骂	回家挨老把子～了一顿。
贬	玩弄	猫逮到耗子总要东～西～,～够了才吃。
贬	折磨	文革中，头数当权派遭～得凶。
贬磨	折磨	这时只见矮个子提了一根板凳来，将那个当权派～了一阵，整得他弯腰如弓，战战栗栗，汗流浃背。
扁毛儿	缺点	万一事情拖得过久，周宏道眼睛一亮，看出了幺妹的一些～,来一个翻悔退聘，有啥子法能把人家制住呢?
煽	压	有些配料是硬脆性的蔬菜，如青辣椒，蒜台等，就应～炒后再回炒。
变脸变色	生气	这使叔父感觉难为情，所以当他～扬长而去之后，那斗行忍不住一个人哑笑了。
便	从来	这活路我~没有做过，啷个做得来嘛!
标子	标牌	这般绅士都是谋反叛逆的头子，等大帅亲笔在～上过了硃，就行刑。
标子	草标儿	小姑娘背上插个草～,面前摆着卖身契。
猋	喷	把刀一抽，血就直往外～。|这一阵急得人冷汗长～。
猋	偏	唉，这一宝，又按～了。|这道题按～了。
嫑	不要	～说了。
逼	压住	路广钟～着喉咙喊道："总求大人裁培!”
别个	别人	将来日子长哩!我现在还是～的人。
别个	我	你说你饿了；~把饭端来了，你又不吃。|原来是你这死丫头，差点没把～吓死!
别门	歪门邪道	以次充好，以假充真，你们这是在搞～!
别	裂	豌豆～开了。
冰	裂	手脚都冻得~口了。|地都干得～口了。
冰粉儿	龟苓膏	知府听了这笑声比吃十二碗～还舒坦凉爽。
冰口	冻疮	手背上也满是～。
冰口	裂口	这水泥地板裂了好几条
饼	片	挖土一锄一大～。|脑壳上虱子一大～。|线子结住一～了。
饼饼	饼
并	繁殖	这几十棵，都全是那年一次~的苗苗。
病病哀哀	病恹恹	妈妈一天到晚～的。
病壳壳	病秧子	一年到头药罐不离手，生成一个～。
病砣砣	病秧子	你们家还不能缺少这个~哟，她虽然不能出工，领家全靠她呀!
啵啰	下	抬起脑壳看，哎哟!挨了一“～”。|铁鸡公登时冒了火：“看老子不刷你几～!”提起烟棒子要打。
玻璃开水	白开水	请来碗～。也说玻璃茶，玻璃。
玻丝网	网	蜘蛛都老死了，～都是老牌的了!
钵钵	钵
剥疮壳壳	揭短	专爱剥疮壳壳的人，今天可剥在自已身上来了。
薄飞飞儿	超薄	暖暖和和，大大方方的中国衣裳不穿，要穿那绳捆索绑～的洋装?
薄皮子人	腼腆	我们家的老二生成是个～,他不会去要的。
跛罗汉	泥足巨人	俗话说，“三个黄花女难顶一个～。”寡母弱女，缺乏劳力，秧子迟迟栽不起来。
簸簸	箩筐	把黄豆倒在大～头拿出去晒。|我的针线～呢?
簸箕阵	雁阵	四周围都是队伍，花厅门前的台阶上下拉成了一个～,外几层是拿步枪的人，内两层和台阶上是拿手枪和鬼头大刀的人。
簸筐	簸箕	李抄手生意真好	大~冒冒一大堆面，再晏一下去，啥都没有了!
绷	硬撑	头几天总要～一下，以后老能这样吗?|就是讨厌你们这伙穷酸，你们自~骨头硬吗?|我原先就没～过自己是漂亮光生的角色!
绷绷儿	环子
绷大方	装样子	不懂得利用请客人～时候抓点钱，还能叫做大师傅?|荷包儿头钱都莫得几个，绷啥子大方啊!
绷劲仗	逞英雄	闯过江湖的袍哥管事，平素喜欢～,经不起徐锅巴胡、吴二拐子三激两激，又下了炮楼。
绷面子	脸上飞金	回公社后，她想给家里的老人和小兰买一包饼干，好给你～,说是你买的。
绷苏气	装样子	莫要乱～,我晓得，你这一个月才做了几笔小生意。
不择生冷	无所顾忌
不多事	老实	这个人平常～。
不多于	不怎么	这几个“老黄牛”以往代课都闷声闷气～开腔，今天也有人叫起苦来!|他不大多于开动脑筋。
不对	合不来	他们两个一向就～,说不到一起，也做不到一起。
不对面	躲藏	你想找他说清楚，他～,你就没法了。
不对子午	撒谎	这人说话总是～,很难让人信得过。
不二不三	不三不四	专跟一些～的人来往，要学坏的!
不犯于	犯不着	我也～摆脸子得罪他。
不犯着	犯不着	我也～摆脸子得罪他。
不关风	模糊	他掉了两颗门牙，说话～。◇文医……哎呀，你看我这～的嘴，该叫文局长啦。
不关事	没关系	～,吃点通草就消气了。|滴点水在衣服上，～,～。
不好	难受	我今天人很～,周身没得劲。|他没有~,才将我还看到他在打球。
不忌生冷	无所顾忌	好个～的东西!家丑不可外扬，咋随便泄漏老子的机密?|幺吵眇是个～的人，什么话他都嘴一张就说了，不管你受得住受不住。
不警不觉	不知不觉	说着话，～就走到了
不进油盐	刚愎自用	认定文如仁是村里谁个的鬼吹吹，才有那个～的顽固态度。
不来烟烟	哑默	为啥在底下说得好好的，临到逗硬了就～啦?|我去侦察一下，怎么这半天～啦?
不识好	不识时务	给你你不要，这叫～!也说
不识好歹	不识时务
不算得	不是	“看来乡里的工作顶忙吧?”“也～。”
不算事	略去	重来过!这盘～!
不胎孩	没出息	骂那个～的，才愿意跟你这道牢门!|几十岁的人了，还做这种不要脸的事，真是老～。
不脱壳	相像	二娃那样子，跟他妈～。|这几只小猫儿，全身黑，跟母猫～。也说不脱壳壳。
不相生	相斥	油和水是～的。
不相生	合不来	两个人一向～,见面都难得说两句话。
不兴	不	你怎么~来开会哇?|又~记牢，咋个今天又错啦?不雅像	*不雅观	旁人看见也～。
不长料	保膘	这条猪咋个搞的呢?光吃～。
不长料	不长进	这么大的人了，死～!
不住财	败家	我那口子是个～的东西，有钱就用光。
补补联联	缝缝补补	这些衣服，~还可以将就穿一年。
补人	入骨	你这句话硬是～。
补须子	补齐
补须子	补偿
须子	尾数	只是没有几天，“须子”都补下来了。
须子	好处	这一回没有帮到忙，下回补点须子。
